,district,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor
1001,Gò Vấp,,39.0,3.0,3.0,,,,,,,,3.0
1002,Bình Thạnh,9.4,125.0,,,,,,,,,,
1003,Phú Nhuận,14.0,112.0,7.0,4.0,,,,,,,,4.0
1004,Quận Phú Nhuận,14.5,88.7,3.0,2.0,TRUE,,,True,,True,,2.0
1005,Quận Phú Nhuận,23.0,66.7,,,TRUE,,,,,,True,6.0
1006,quận Phú Nhuận,18.0,90.8,,,TRUE,,,,,,,4.0
1007,Phú Nhuận,32.0,82.5,4.0,5.0,TRUE,,,,,,True,4.0
1008,Quận 1,90.0,124.0,,,TRUE,,,,,True,True,4.0
1009,Quận 1,90.0,124.0,,,TRUE,,,,,True,True,4.0
1010,Quận Bình Thạnh,13.0,83.5,,,TRUE,,,,,,True,2.0
1011,Q. Gò Vấp,30.0,71.0,,,TRUE,,,True,,True,,5.0
1012,,3.0,44.0,3.0,2.0,TRUE,,True,True,,,,3.0
1013,Gò Vấp,4.08,33.0,3.0,3.0,,,,,,,,4.0
1014,PHÚ NHUẬN,4.2,49.0,4.0,4.0,TRUE,,,,,,True,5.0
1015,Tân Phú,3.0,52.0,3.0,,,,,,,,True,2.0
1016,Quận 10,6.0,35.0,3.0,4.0,,,,,,,,5.0
1017,Tp Thủ Đức,13.9,138.0,,,TRUE,,,,,,True,2.0
1018,Phú Nhuận,17.0,82.0,,,TRUE,,,,,,,5.0
1019,Tân Phú,4.1,58.0,,,,,,,,,,3.0
1020,Tân Bình,6.7,,6.0,5.0,TRUE,,,,,,,
1021,Bình Tân,2.7,45.0,2.0,2.0,,True,,,,,,2.0
1022,Bình Tân,3.85,44.0,3.0,2.0,,,,True,,,,3.0
1023,BÌNH TÂN,3.85,44.0,3.0,2.0,TRUE,,,True,,,True,3.0
1024,Q11,2.0,60.0,2.0,,TRUE,,,,,,True,2.0
1025,Giáp Quận 6,4.7,82.0,3.0,2.0,TRUE,,True,True,,True,,2.0
1026,Quận Tân Phú,2.799,34.0,,,,,,,,,,
1027,TÂN PHÚ,5.4,64.0,,,,,,,,,,4.0
1028,Tân Phú,5.5,36.0,3.0,4.0,,,,,,,,4.0
1029,,7.9,48.0,4.0,,TRUE,,,True,,,,3.0
1030,,10.5,67.0,4.0,,TRUE,,,,,,,3.0
1031,Bình Thạnh,6.0,50.0,4.0,4.0,TRUE,,False,False,True,False,False,4.0
1032,Bình Tân,15.0,120.0,6.0,,TRUE,,True,True,,,,4.0
1033,Bình Tân,15.0,120.0,6.0,,TRUE,,True,True,,,,4.0
1034,Quận 1,15.0,55.1,6.0,6.0,TRUE,,,,,,,3.0
1035,quận Bình Thạnh,8.9,50.0,,,TRUE,True,True,,,,,4.0
1036,Phú Nhuận,24.5,105.4,4.0,5.0,,,,,,,,3.0
1037,Quận 1,16.0,36.0,,,TRUE,,,,,,True,4.0
1038,Thủ Đức,4.0,,,,,,,,,True,True,4.0
1039,Thủ Đức,4.0,,,,,,,,,,True,4.0
1040,Quận Bình Thạnh,8.5,36.4,4.0,3.0,TRUE,True,True,True,,,True,3.0
1041,Quận 9,5.9,60.0,3.0,2.0,TRUE,,True,True,True,,True,3.0
1042,Phú Nhuận,18.0,48.6,,,TRUE,,,,,,,3.0
1043,Phú Nhuận,21.0,64.0,,,TRUE,True,True,True,,,,5.0
1044,Q.Phú Nhuận,17.9,90.8,,,TRUE,,,,,,,4.0
1045,,,,,,,,,,,,,
1046,quận Bình Thạnh,22.0,155.7,3.0,5.0,,,,,,,,3.0
1047,Hóc Môn,4750000.0,,,,,,,,,,,
1048,Tp Thủ Đức,26.0,238.0,5.0,6.0,TRUE,,True,True,,,True,3.0
1049,,5.6,152.0,2.0,2.0,TRUE,False,True,False,False,False,True,
1050,Q. 12,7.0,35.0,3.0,,TRUE,,,,,,,3.0
1051,Quận 7,19.0,83.2,6.0,1.0,TRUE,True,,True,,True,,5.0
1052,Quận Bình Tân,,,,,,,,True,,True,,
1053,Quận Bình Tân,,,,,,,,True,,,,4.0
1054,Gò Vấp,12.0,76.0,4.0,,TRUE,,,True,,,,4.0
1055,Quận Phú Nhuận,16.0,82.3,,,,,,,,,,
1056,Quận Bình Thạnh,18.0,75.6,,,TRUE,,,,,,True,4.0
1057,Quận 7,25.5,100.0,4.0,,TRUE,True,,,,,,3.0
1058,,6.0,68.0,3.0,2.0,TRUE,,True,,,,True,2.0
1059,,6.0,68.0,3.0,2.0,TRUE,,True,True,,,True,2.0
1060,Quận 7,8.9,100.0,,,TRUE,,,True,,,,2.0
1061,Quận 1,30.0,55.53,,,TRUE,,,,,,True,4.0
1062,Quận Bình Thạnh,21.0,80.0,,,,,,,,,True,3.0
1063,Quận Tân Phú,3.25,44.0,,,,,,,,,,
1064,Quận 7,5.0,60.0,,,TRUE,,True,,,,,2.0
1065,,5.7,98.0,2.0,2.0,TRUE,,,,True,,True,2.0
1066,Q.9,2.0,60.0,2.0,2.0,TRUE,,,,,,True,2.0
1067,Gò Vấp,4.9,33.0,,,TRUE,,True,,,,,3.0
1068,,4.2,52.0,2.0,2.0,TRUE,,,,True,,True,2.0
1069,Gò Vấp,9.5,87.0,,,TRUE,,,,,,,4.0
1070,Quận 10,22.0,110.0,,,TRUE,,,,,,True,3.0
1071,Tân Bình,4.7,,2.0,3.0,,,True,True,,,,2.0
1072,Quận Phú Nhuận,13.0,72.0,,,,,,,,,,3.0
1073,Quận Phú Nhuận,23.0,66.7,,,TRUE,,,,,,,6.0
1074,Phú Nhuận,23.0,66.7,,,TRUE,,,,,,,6.0
1075,Quận Phú Nhuận,14.5,88.7,3.0,2.0,TRUE,,,True,,,,2.0
1076,Q. Phú Nhuận,12.9,51.0,6.0,4.0,TRUE,,,,,,,3.0
1077,Quận 1,44.0,160.0,,,TRUE,,,,,True,True,7.0
1078,Quận 1,44.0,160.0,,,,,,,,True,True,7.0
1079,Phú Nhuận,14.0,112.0,7.0,4.0,TRUE,,,,,,True,4.0
1080,Quận 1,49.0,150.0,,,TRUE,,,,,,True,6.0
1081,Quận 5,33.0,160.0,6.0,,,,,,,,,5.0
1082,Phú Nhuận,30.0,111.8,9.0,7.0,TRUE,,True,True,,,True,2.0
1083,Quận 3,42.0,100.0,,,TRUE,True,True,True,,,True,5.0
1084,Quận 10,38.0,144.0,,,TRUE,,True,True,,True,,5.0
1085,Quận 10,26.0,100.0,,,TRUE,,,,,,True,5.0
1086,Quận 1,45.0,80.0,,,TRUE,,,,,,,7.0
1087,Quận 1,45.0,80.0,,,TRUE,,,,,,,7.0
1088,,39.0,143.0,,,TRUE,,,,,,,5.0
1089,Quận Bình Thạnh,40.0,280.0,,,TRUE,,,,,,True,3.0
1090,Q. Bình Thạnh,50.0,365.0,,,,,,,,,,5.0
1091,Q10,,38.0,3.0,3.0,TRUE,,True,,True,,,5.0
1092,Quận 1,90.0,124.0,,,,,,,,,True,4.0
1093,Quận 7,4.2,88.2,,,TRUE,,True,True,,,,1.0
1094,Phú Nhuận,32.0,82.5,4.0,5.0,TRUE,,,,,,True,4.0
1095,Quận 7,4.85,55.2,2.0,2.0,TRUE,,True,True,,,,1.0
1096,Quận Bình Thạnh,9.4,125.0,,,,,,,,,,
1097,Quận 7,8950000000.0,60.0,,,,,True,True,,,,4.0
1098,Phú Nhuận,18.0,90.8,,,TRUE,,,,,,,4.0
1099,Quận 7,24.0,180.0,,,,,,True,,True,,3.0
1100,BÌNH THẠNH,4.0,55.0,2.0,2.0,TRUE,,,True,True,,,2.0
1101,TP Thủ Đức,4.15,60.0,4.0,,TRUE,,,,,,True,2.0
1102,Quận 7,10.3,77.4,3.0,4.0,TRUE,,True,True,,,,3.0
1103,,,,,,,,,,,,,
1104,Bình Tân,4.8,60.2,2.0,2.0,TRUE,,True,True,,,True,1.0
1105,Quận 2,9.9,86.0,4.0,7.0,TRUE,,,,,True,,5.0
1106,QTB,20.0,77.0,,,TRUE,,,,,,,4.0
1107,Q8,25.0,77.4,,,TRUE,,,,,,,4.0
1108,Tân Phú,6.3,111.0,3.0,3.0,TRUE,,True,,,,,2.0
1109,,4.0,55.0,3.0,2.0,TRUE,,True,,True,,,2.0
1110,,2.0,22.0,2.0,2.0,,,True,True,,,True,2.0
1111,Tân Phú,6.9,76.0,5.0,6.0,TRUE,,,,,,,5.0
1112,,5.0,80.0,4.0,,TRUE,True,True,True,,,,4.0
1113,Gò Vấp,7.0,53.0,,,,,,,,,,4.0
1114,Bình Tân,3.95,80.0,2.0,2.0,,True,,,,,,3.0
1115,Bình Tân,3.95,80.0,2.0,2.0,,True,,,,,,2.0
1116,,2000000000.0,,2.0,2.0,TRUE,,,,,,True,2.0
1117,Quận 2,6.95,86.0,4.0,5.0,,,True,True,,,True,4.0
1118,Bình Tân,4.0,44.0,3.0,3.0,TRUE,,,,,,,4.0
1119,,11.9,68.0,4.0,6.0,,,,,,,,5.0
1120,,4.1,,2.0,2.0,TRUE,,,,,,,2.0
1121,Quận 6,10.0,84.0,2.0,,TRUE,,,True,,,,3.0
1122,,6.5,60.0,3.0,4.0,TRUE,,,,,,,3.0
1123,Q. Bình Tân,3.55,50.0,,,TRUE,True,True,True,,,,2.0
1124,TP Thủ Đức,12.0,189.0,,,,,,True,,,True,
1125,Bình Thạnh,6.0,65.0,2.0,3.0,TRUE,,,,,,,2.0
1126,Tân Bình,8.5,60.0,6.0,,TRUE,,,,,,,4.0
1127,Tân Bình,8.2,55.0,6.0,5.0,TRUE,,,,,,,5.0
1128,BÌNH THẠNH,6.5,76.0,,,TRUE,,,,,,True,2.0
1129,Bình Thạnh,6.5,76.0,,,,,,,,,,2.0
1130,,2590000.0,,,,,,,,,,,
1131,P. Linh Trung,7.0,59.3,4.0,4.0,TRUE,True,True,True,True,,True,4.0
1132,Bình Thạnh,7.0,50.0,3.0,4.0,TRUE,True,,,True,,,5.0
1133,BÌNH THẠNH,7.0,50.0,3.0,4.0,TRUE,True,True,True,True,True,,5.0
1134,Q. Bình Thạnh,9.0,57.4,5.0,6.0,TRUE,,,True,,,,4.0
1135,Q. Bình Thạnh,9.0,57.4,5.0,6.0,TRUE,,,True,,,,4.0
1136,Q. Bình Thạnh,9.0,57.4,5.0,6.0,TRUE,,,True,,,,3.0
1137,Q. Bình Thạnh,9.0,57.4,5.0,6.0,TRUE,,,True,,,,3.0
1138,Q. Gò Vấp,30.0,71.0,,,TRUE,,,True,,True,,5.0
1139,Q. Gò Vấp,30.0,71.0,,,TRUE,,,True,,True,,5.0
1140,Q. Gò Vấp,30.0,71.0,,,TRUE,,,True,,True,,5.0
1141,Quận 1,10.0,72.0,4.0,3.0,TRUE,,,,,,,3.0
1142,Thủ Đức,7.9,69.0,4.0,4.0,,,,,,,True,3.0
1143,Q. Gò Vấp,4.95,48.0,,,,,,,,,True,3.0
1144,Q. Gò Vấp,4.095,48.0,,,,,,,,,True,3.0
1145,Q. Gò Vấp,4.95,48.0,,,,,,,,,True,3.0
1146,Q. Gò Vấp,4.95,48.0,,,,,,,,,True,3.0
1147,Phú Nhuận,19.0,77.4,,,,,,,,,True,3.0
1148,Phú Nhuận,19.0,77.4,,,,,,,,,True,3.0
1149,Quận Phú Nhuận,19.0,77.4,,,,,,,,,True,3.0
1150,Phú Nhuận,19.0,77.4,,,,,,,,,True,3.0
1151,Quận Phú Nhuận,15.4,88.7,3.0,2.0,TRUE,,,True,,,,2.0
1152,Quận Phú Nhuận,15.4,88.7,3.0,2.0,TRUE,,,True,,,True,2.0
1153,Quận Phú Nhuận,15.4,88.7,3.0,2.0,TRUE,,,True,,,,2.0
1154,Quận 2,,,,,,,,,,,,
1155,Quận Bình Thạnh,13.0,83.5,,,TRUE,,,,,,True,2.0
1156,Q6,5.7,70.0,4.0,6.0,TRUE,,,,,,,5.0
1157,Quận Bình Thạnh,13.0,83.5,,,TRUE,,,,,,True,2.0
1158,Quận Bình Thạnh,13.0,83.5,,,,,,,,,,2.0
1159,Quận Bình Thạnh,13.0,83.5,,,TRUE,,,,,,True,2.0
1160,Bình Tân,,32.0,2.0,2.0,,,,,,,,2.0
1161,,,41.0,3.0,3.0,,,,,,,,2.0
1162,Bình Tân,4.8,71.0,3.0,2.0,,True,,,,,,2.0
1163,Quận 2,8.9,54.0,,,TRUE,,,,,,,
1164,Quận 3,6.5,36.0,4.0,,,,,,,,,4.0
1165,Q2,19.0,115.6,,,TRUE,,,,,True,True,3.0
1166,Phú Nhuận,9.0,70.0,4.0,,,,,,,,,2.0
1167,Bình Thạnh,,80.0,4.0,3.0,TRUE,,,,,,,4.0
1168,Quận 7,3.5,56.0,2.0,1.0,TRUE,,True,True,,,True,1.0
1169,Quận 7,3.78,40.0,2.0,2.0,TRUE,,True,True,,,,1.0
1170,Quận Bình Thạnh,27.0,105.0,,,,,,,True,True,True,8.0
1171,Tp. Thủ Đức,4.0,55.0,2.0,2.0,TRUE,True,True,True,True,True,False,2.0
1172,Tân Phú,3.25,,2.0,2.0,,,,True,,True,,2.0
1173,Tân Phú,6.0,105.0,3.0,,,,,True,,,,3.0
1174,Bình Tân,3000000.0,,,,,,,,,,,
1175,Bình Tân,7.0,54.6,4.0,5.0,,,True,True,,,,5.0
1176,Quận Bình Thạnh,6.0,37.8,4.0,3.0,TRUE,True,True,True,True,,,3.0
1177,Quận Bình Tân,,,,,,True,True,True,,,,4.0
1178,Bình Thạnh,5.0,60.0,6.0,3.0,TRUE,,,,True,,,3.0
1179,Quận 9,9.7,67.4,4.0,5.0,TRUE,,,,True,,True,4.0
1180,,11.9,68.0,4.0,6.0,,,,,,,,5.0
1181,Quận 3,11.5,63.0,,,TRUE,,,,,,,7.0
1182,BÌNH TÂN,6.0,100.0,4.0,,,,,,,,,3.0
1183,Quận 1,3000000.0,,,,,,,,,,,
1184,Q9,13.5,136.0,4.0,5.0,,,,,,,,4.0
1185,Tân Bình,7.9,53.0,3.0,2.0,TRUE,,True,True,,,True,2.0
1186,Tân Bình,8.0,65.0,4.0,3.0,TRUE,,,,,,,3.0
1187,Bình Thạnh,9.0,,3.0,2.0,,,,,,,,3.0
1188,Quận 7,6.2,208.0,4.0,5.0,TRUE,,,True,,,True,3.0
1189,Quận 7,6.2,208.0,4.0,5.0,TRUE,,True,True,,,True,3.0
1190,,4.95,65.0,,,TRUE,True,,,,,,2.0
1191,Quận Bình Tân,,,,,,,,,,,,
1192,,8.8,159.0,3.0,1.0,TRUE,,,True,,,True,2.0
1193,Quận 7,3.9,98.0,4.0,1.0,TRUE,,True,True,,,,2.0
1194,Quận 7,8.0,108.0,3.0,3.0,TRUE,,True,True,,,,2.0
1195,,,,,,,,,,,,,
1196,Q2,15.5,80.0,5.0,4.0,TRUE,,True,,,,,3.0
1197,,,,,,,,,,,,,
1198,,4.9,,4.0,4.0,TRUE,,True,,,,,3.0
1199,Q8,2.8,37.0,2.0,2.0,,,,,,,True,
1200,Gò Vấp,1.0,,2.0,2.0,,,,,,,,2.0
1201,Bình Tân,7.0,60.0,4.0,,,,,,,,,3.0
1202,Phú Nhuận,7.0,165.0,11.0,,TRUE,,,,,,True,2.0
1203,,16.0,82.5,3.0,3.0,TRUE,,,,,,,
1204,Quận Bình Tân,,,,,,,,True,,,,5.0
1205,Q12,3.45,64.0,3.0,2.0,TRUE,,,,,,True,2.0
1206,Q12,4.25,39.9,4.0,3.0,,,,,,,,5.0
1207,Q12,4999000000.0,108.0,3.0,2.0,TRUE,,,,,,,2.0
1208,Bình Thạnh,10.0,42.0,2.0,2.0,,,,,,,,
1209,BÌNH TÂN,5.6,,6.0,1.0,,,,,,,True,5.0
1210,BÌNH TÂN,5.6,,6.0,1.0,,,,,,,True,5.0
1211,Quận Bình Thạnh,2.0,47.5,3.0,1.0,,,True,True,,,,2.5
1212,,13.2,100.0,7.0,7.0,TRUE,,,,,,,4.0
1213,,11.0,57.6,3.0,2.0,TRUE,,,,,,,2.0
1214,,12.5,122.0,4.0,4.0,TRUE,True,True,True,,,,
1215,Phường 5,13.0,136.0,,4.0,TRUE,,True,True,,,True,4.0
1216,Thủ Đức,5.0,54.0,4.0,4.0,,,True,,,,,1.0
1217,BÌNH TÂN,5.0,60.0,3.0,3.0,,,,,,,,3.0
1218,BÌNH TÂN,5.0,60.0,3.0,3.0,,,,,,,,3.0
1219,,9.7,100.0,5.0,,,,True,,,,,3.0
1220,,9.7,100.0,5.0,,,,True,,,,,3.0
1221,Quận Bình Thạnh,6.0,50.0,4.0,3.0,TRUE,True,,,,,,3.0
1222,,4.5,,2.0,2.0,,,True,,,,,2.0
1223,Bình Tân,5.88,90.0,,,,,,,,,,4.0
1224,Gò Vấp,,35.0,2.0,4.0,,,,,,,,3.0
1225,Quận 9,26.0,215.0,4.0,4.0,TRUE,,True,True,,,True,3.0
1226,,7.7,68.0,4.0,,TRUE,,,,,,,3.0
1227,Tân Bình,9.0,70.0,,,TRUE,,,,,,True,5.0
1228,,6.0,59.0,,,TRUE,,,,,,True,2.0
1229,Quận 12,4.0,76.0,3.0,,,,,,,,,2.0
1230,Gò Vấp,3.1,31.5,2.0,2.0,,,True,,,,,2.0
1231,,9.9,113.0,,,,,,,,,,5.0
1232,Gò Vấp,2.69,,2.0,2.0,,,,,,,,2.0
1233,GV,2.0,20.0,2.0,3.0,TRUE,,,,,,True,3.0
1234,Tân Phú,5.2,80.0,3.0,,TRUE,,,,,,,3.0
1235,Quận Bình Tân,,,,,TRUE,,True,True,,,,
1236,TP. Thử Đức,5.0,50.0,4.0,3.0,TRUE,,,True,,True,,4.0
1237,Q. Bình Tân,5.5,74.0,9.0,9.0,TRUE,,True,True,,,,3.0
1238,Trần Bình Trọng,9.5,95.0,4.0,,,,,,,,,4.0
1239,Thủ Đức,3.4,60.0,1.0,,,,,,,,True,2.0
1240,Bình Thạnh,26.0,105.0,,,,,,,,,,
1241,Quận Bình Tân,6.1,104.0,,,TRUE,,,True,,,,2.0
1242,Q. Bình Tân,4.2,65.0,,,,,,,,,,2.0
1243,Quận 9,2960000.0,,,,,,,,,,,
1244,Q. Bình Tân,6.8,64.0,,,TRUE,,,True,,,,4.0
1245,Quận 12,4.0,50.0,,,,,True,True,,,,
1246,Quận 12,4.0,50.0,,,,,True,True,,,,
1247,,4.9,50.0,4.0,3.0,,,,,,,,3.0
1248,Quận 10,7.6,37.0,5.0,,TRUE,,,,,,,5.0
1249,Phú Nhuận,15.5,32.0,,,TRUE,,,,,,True,3.0
1250,Q. Tân Bình,20.0,94.15,,,TRUE,,,,,,True,6.0
1251,Q. Gò Vấp,4.095,57.6,4.0,2.0,,,,,,,True,2.0
1252,,6.0,,2.0,3.0,TRUE,,,,,,,3.0
1253,,6.0,,2.0,3.0,TRUE,,,,,,True,3.0
1254,Q. 1,21.0,64.0,,,,,,,,,True,4.0
1255,Q. Gò Vấp,30.0,71.0,,,TRUE,,,True,,True,,5.0
1256,Q. Bình Thạnh,9.2,57.4,5.0,6.0,TRUE,,,True,,,,4.0
1257,Phú Nhuận,24.5,100.0,,,TRUE,,,,,,,3.0
1258,Thủ Đức,6.8,66.0,4.0,,TRUE,,True,,,,,3.0
1259,Thủ Đức,6.8,66.0,4.0,,TRUE,,True,,,,,3.0
1260,quận Bình Thạnh,5.0,50.0,4.0,6.0,,,,,,,,5.0
1261,Quận 7,4.75,47.0,2.0,3.0,,,True,True,,True,,1.0
1262,Quận 7,4.5,54.0,,,TRUE,,,,,,,2.0
1263,P Trường Thọ,18.5,191.0,5.0,4.0,,,,,,,True,3.0
1264,Tân Bình,6.0,62.0,2.0,2.0,,,,,,,,2.0
1265,Tân Phú,6.0,60.0,3.0,3.0,,,True,,,,,3.0
1266,Quận 8,17.0,291.8,4.0,4.0,TRUE,,,,,,,3.0
1267,Quận 8,18.0,242.6,5.0,5.0,TRUE,,True,,True,True,,3.0
1268,,2.0,30.0,,,,,,,True,,True,2.0
1269,BÌNH THẠNH,7.0,75.0,2.0,2.0,,,,,True,,,2.0
1270,Thủ Đức,3.4,65.0,,,TRUE,,,,,,True,
1271,Gò Vấp,8.2,44.0,,,TRUE,,True,True,,,,4.0
1272,Gò Vấp,8.2,44.0,,,TRUE,,True,True,,,,4.0
1273,Gò Vấp,7.99,70.0,5.0,3.0,TRUE,,,,,,,4.0
1274,TP.Thủ Đức,4.6,60.0,,,,True,,,,,True,2.0
1275,TP-THỦ ĐỨC,4.6,54.0,,,,True,,,,,True,2.0
1276,Gò Vấp,7.8,124.6,,,,,,,,,,2.0
1277,Gò Vấp,7.8,124.6,,,,,,,,,,2.0
1278,TP-Thủ Đức,4.6,60.0,2.0,2.0,,,,,,,True,2.0
1279,Thủ Đức,4.6,56.0,2.0,3.0,,True,,,,,True,2.0
1280,,,186.0,,,,,True,True,,,True,2.0
1281,Bình Thạnh,9.0,52.0,9.0,9.0,TRUE,,True,,True,,,4.0
1282,P. Linh Tây,5.35,67.0,3.0,3.0,TRUE,,True,,True,,True,2.0
1283,,,,,,,,,,,,,
1284,,3.45,68.0,3.0,3.0,,,True,,,,,2.0
1285,Gò Vấp,4.5,35.8,4.0,3.0,5,,True,True,,,,3.0
1286,Quận 12,5.5,62.5,5.0,5.0,TRUE,,,,,,,4.0
1287,Q12,4.34,55.0,3.0,2.0,TRUE,,,,,,,2.0
1288,TP-THỦ ĐỨC,6.8,113.0,,,TRUE,,,,,True,True,3.0
1289,Q. Bình Thạnh,9.2,57.4,5.0,6.0,TRUE,,,True,,,,4.0
1290,Quận Phú Nhuận,24.5,100.0,,,TRUE,,,,,,,3.0
1291,Quận Phú Nhuận,13.0,72.0,,,,,,,,,,3.0
1292,Quận Phú Nhuận,16.5,100.4,,,,,,,,,,3.0
1293,Phú Nhuận,17.0,75.0,,,TRUE,,,,,,,4.0
1294,Phú Nhuận,15.4,88.7,3.0,2.0,TRUE,,,True,,,,2.0
1295,TP.THỦ ĐỨC,6.8,112.0,,,TRUE,,,,,True,True,3.0
1296,Quận Tân Bình,20.0,144.0,,,,,,,,,True,4.0
1297,Phú Nhuận,24.5,100.0,,,TRUE,,,,,,,2.0
1298,,,,,,,,,,,,,
1299,Quận Phú Nhuận,13.0,72.0,,,,,,,,,,3.0
1300,Quận Phú Nhuận,13.0,72.0,,,,,,,,,,3.0
1301,Quận Phú Nhuận,16.5,100.4,,,,,,,,,,3.0
1302,Quận 8,6.28,54.0,4.0,3.0,TRUE,True,,,,,,2.0
1303,Phú Nhuận,17.0,75.0,,,TRUE,,,,,,,4.0
1304,Quận Phú Nhuận,16.5,100.4,,,,,,,,,True,3.0
1305,Quận Phú Nhuận,15.4,88.7,3.0,2.0,TRUE,,,True,,,,2.0
1306,Phú Nhuận,15.5,32.0,,,TRUE,,,,,,True,3.0
1307,Bình ChiỂu,7.0,112.1,,,TRUE,,,,,,True,2.0
1308,Quận Bình Thạnh,13.5,85.0,,,,,,,,,True,5.0
1309,,,,,,,,,,,,,
1310,Gò Vấp,3.2,4.0,3.0,,TRUE,,True,True,True,,,2.0
1311,Quận 3,16.0,60.0,6.0,,,,,,,,True,2.0
1312,Q.9,4.5,72.0,3.0,2.0,TRUE,,True,,,,True,
1313,,6.8,112.1,3.0,,TRUE,,,,,,True,3.0
1314,Quận Gò Vấp,24.0,150.0,,,,,,,True,,True,5.0
1315,Bình Thạnh,7000000000.0,59.0,9.0,,TRUE,,,,,,,5.0
1316,,,85.0,4.0,5.0,,,,,,,,3.0
1317,Bình Thạnh,5.0,60.0,2.0,2.0,TRUE,,,True,True,,,2.0
1318,,5.0,,4.0,5.0,TRUE,,,,,,,4.0
1319,Tp. Thủ Đức,4.99,59.0,3.0,2.0,,,True,True,,,True,2.0
1320,tp. Thủ Đức,2.2,30.0,2.0,1.0,TRUE,,True,True,,,,2.0
1321,Thủ Đức,5.6,72.0,,,TRUE,True,True,True,,,True,3.0
1322,Gò Vấp,6.5,62.0,,,TRUE,,True,True,,True,,4.0
1323,Bình Thạnh,5.0,60.0,9.0,9.0,TRUE,True,True,True,True,True,,5.0
1324,TP. THỦ ĐỨC,6.8,115.0,3.0,3.0,TRUE,,,,,,True,2.0
1325,Thủ Đức,5.2,75.35,4.0,,TRUE,,,,,,True,
1326,Thủ Đức,3.4,60.0,,,,,,,,,True,
1327,,3.4,60.0,,,,,,,,,True,
1328,Bình Thạnh,5.0,57.0,,,TRUE,,True,,True,True,,2.0
1329,Gò Vấp,4.5,64.0,5.0,,TRUE,,,,,,,2.0
1330,Gò Vấp,4.5,64.0,5.0,,TRUE,,,,,,,2.0
1331,Tân Phú,5.5,72.0,,,TRUE,,,,,,,3.0
1332,Tp. Thủ Đức,,60.0,3.0,2.0,TRUE,,,,,,True,2.0
1333,Quận 6,10.88,80.0,5.0,1.0,TRUE,,,True,,,,4.0
1334,Quận 6,10.88,80.0,5.0,1.0,TRUE,,,True,,,,4.0
1335,,3.0,60.0,3.0,1.0,,,,,,True,,
1336,Gò Vấp,5.2,34.0,,,,,,,,,,5.0
1337,Quận 7,,142.0,4.0,3.0,,,True,True,,,,
1338,Tân Phú,6.6,4.5,4.0,3.0,TRUE,,,,,,,2.0
1339,Quận Bình Thạnh,11.0,77.0,2.0,2.0,TRUE,,,,,,True,2.0
1340,Gò Vấp,,42.0,3.0,3.0,TRUE,,,,True,,,3.0
1341,Bình Thạnh,2.0,33.0,3.0,2.0,TRUE,True,,True,,,,2.0
1342,Tp Thủ Đức,15.5,228.0,5.0,5.0,TRUE,,,True,,,True,3.0
1343,Quận Phú Nhuận,16.5,100.4,,,,,,,,,True,3.0
1344,Tân Bình,6.0,62.0,2.0,2.0,,,,,,,,2.0
1345,Quận Bình Thạnh,14.5,110.0,,,TRUE,,,,,,True,4.0
1346,Quận Tân Bình,20.0,144.0,,,,,,,,,True,4.0
1347,Gò Vấp,6700000000.0,63.0,,,,,True,True,,,,4.0
1348,Tân Phú,6.0,60.0,3.0,3.0,TRUE,,True,,,,,3.0
1349,Gò Vấp,7.1,60.0,4.0,5.0,TRUE,,,,,True,,4.0
1350,Bình Thạnh,5.7,60.0,3.0,2.0,TRUE,,,,,,,2.0
1351,Thủ Đức,4.0,63.0,4.0,2.0,,,,,,,True,3.0
1352,TP.Thủ Đức,18.0,40.5,,,,True,,,,,True,3.0
1353,TP.THỦ ĐỨC,18.0,40.5,,,,True,,,,,True,3.0
1354,Quận Thủ Đức,6.0,54.0,3.0,,TRUE,,,True,,,,2.0
1355,Q3,,22.4,,,,,,True,,,,
1356,Tp. Thủ Đức,3.9,110.0,4.0,,,,True,,True,True,,
1357,Bình Thạnh,13.8,152.0,5.0,,TRUE,True,True,True,,,True,4.0
1358,,3.5,,,,,,,,True,,,2.0
1359,Bình Tân,,,,,,,True,,,,,
1360,Bình Tân,,,,,,,True,,,,,4.0
1361,Quận 6,15.0,120.0,,,TRUE,True,True,True,,,True,5.0
1362,Bình Thạnh,4.0,50.0,2.0,2.0,,,,True,True,,,2.0
1363,Q9,11.5,75.0,4.0,5.0,,,,,,,,4.0
1364,,7.5,80.0,4.0,5.0,,,True,,,,,3.0
1365,BÌNH TÂN,2.1,53.0,2.0,,,,,,,,,1.0
1366,,24.5,168.0,8.0,,TRUE,,,True,,,,4.0
1367,,4141000.0,,,,,,,,,,,
1368,Bình Thạnh,9.0,52.0,9.0,9.0,,,,,True,,,4.0
1369,,9.75,84.0,7.0,8.0,TRUE,,,,,,,4.0
1370,,,,,,,,,,,,,
1371,An Lạc A,5.7,52.0,,,TRUE,,,True,,,,
1372,Q. Bình Tân,7.2,86.0,,,TRUE,True,True,True,,,,2.0
1373,,,,,,,,,,,,,
1374,Q. Bình Tân,7.2,72.0,,,TRUE,,True,True,,,,2.0
1375,,,30.0,,,TRUE,,,True,,,True,
1376,Tân Phú,5.0,92.0,3.0,3.0,TRUE,,,True,,,True,3.0
